LTPProtein,ProteinDomain,FullIdentityOfLipid,Lipid,SmileGlobal,SmileFragment,ChainFragments,Screen,Interaction,Source,Confidence,Evidence,UniProt_Accession,PDB_structures_found,Example_PDB_ID
RBP2,lipocalin,Retinol,VA,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/CO)/C)/C,,,literature,1,literature_homology,HIGH,Structural binding-site evidence (all-trans-retinol); same lipocalin/RBP family as already-confirmed RBP1/RBP4,P50120,198,6BTH
RBP7,lipocalin,Retinol,VA,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/CO)/C)/C,,,literature,1,literature_homology,HIGH,GO retinol/retinal binding; same family as RBP1/RBP4 (no direct structure),Q96R05,29,2C35
CRABP1,lipocalin,Retinoic acid (all-trans),RA,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/C(=O)O)/C)/C,,,literature,1,literature_homology,HIGH,Structural binding-site evidence (all-trans-retinoate); classic retinoid-binding protein,P29762,2,7A9Z
FABP2,lipocalin,Palmitate (16:0),FA(16:0),CCCCCCCCCCCCCCCC(=O)O,,,literature,1,literature_homology,HIGH,Structural binding-site evidence (hexadecanoate/tetradecanoate); same FABP family as FABP1/5/7,P12104,7,2MO5
FABP3,lipocalin,Oleate (18:1),FA(18:1),CCCCCCCC/C=C\CCCCCCCC(=O)O,,,literature,1,literature_homology,HIGH,Structural binding-site evidence (oleate/palmitate/stearate); FABP family,P05413,75,9M1X
FABP4,lipocalin,Palmitate (16:0),FA(16:0),CCCCCCCCCCCCCCCC(=O)O,,,literature,1,literature_homology,HIGH,Structural evidence for 'a fatty acid'; also documented to bind retinoic acid,P15090,248,3P6D
FABP6,lipocalin,Chenodeoxycholic acid,BA,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C,,,literature,1,literature_homology,MEDIUM,Function text: binds bile acids specifically (gastrotropin); no direct PDB binding-site record in this query,P51161,6,5L8I
STARD1,START,Cholesterol,CHOL,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,,,literature,1,literature_homology,HIGH,"Explicit GO cholesterol binding/transfer; canonical START-domain cargo, same family as STARD2/10/11",P49675,4,3P0L
STARD3,START,Cholesterol,CHOL,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,,,literature,1,literature_homology,HIGH,Explicit GO cholesterol binding/transfer,Q14849,5,5I9J
STARD4,START,Cholesterol,CHOL,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,,,literature,1,literature_homology,HIGH,Explicit GO cholesterol binding/transfer,Q96DR4,2,6L1M
